first,last,start,end,length
Joan,Perez,1902,1947,45
Enrique,Berry,1903,1977,74
Bradley,Denni,1908,1968,60
Allan,Wise,1915,1984,69
Emma,Hale,1915,1988,73
Rosa,Kelly,1916,1996,80
Karl,Jenkins,1919,1988,69
Kathy,Beck,1924,1969,45
Jeff,Moran,1927,1973,46
Cecilia,Mcdonald,1930,1998,68
Floyd,Rice,1931,1959,28
Edward,Schwartz,1931,1978,47
Gerardo,Benson,1932,1966,34
Terrence,Barnes,1936,1987,51
Marvin,Hol,1937,1990,53
Arlene,Powers,1937,1984,47
Janie,Bowers,1937,1970,33
Kent,Estrada,1938,1992,54
Allison,Harper,1942,1991,49
Brian,Dunn,1944,1992,48
Bobby,Sanchez,1951,1994,43
Morri,Higgins,1951,1989,38
Percy,Singleton,1955,1998,43
Eduardo,Ingram,1957,1995,38
Jane,Owen,1972,1999,27
